id;start_date;end_date;applied_date;update_date;days;deleted;leave_type_id;staff_id
1;2020-04-06;2020-04-10;2021-04-29T20:31:29;2021-04-30T11:50:51;5;false;2;1
2;2020-07-13;2020-07-17;2021-04-29T22:59:29;2021-04-30T03:18:13;5;false;2;1
3;2020-12-21;2021-01-04;2021-04-29T22:46:32;2021-04-29T21:46:46;8;false;2;1
4;2021-03-29;2021-04-06;2021-04-29T16:36:21;2021-04-30T08:37:21;4;true;2;1
4;2021-03-29;2021-04-09;2021-04-29T16:36:21;2021-04-30T08:37:21;8;false;2;1
6;2021-08-10;2021-08-13;2021-04-30T01:41:34;2021-04-29T17:34:37;4;false;2;1
7;2021-09-20;2021-09-23;2021-04-30T07:33:05;2021-04-30T00:29:48;4;false;2;1
8;2021-10-04;2021-10-04;2021-04-29T20:14:02;2021-04-30T01:07:25;1;true;2;1
9;2021-12-17;2021-12-17;2021-12-10T13:57:45;2021-04-29T23:35:48;1;false;2;1
10;2021-12-28;2022-12-30;2021-04-30T01:06:46;2021-04-29T19:47:51;7;false;2;1
11;2022-03-22;2022-03-25;2021-04-30T01:06:46;2021-04-29T19:47:51;4;false;2;1
