id;entitlement_date;days;leave_type_id;staff_id
1;2020-03-31;1.5;2;1
2;2020-04-30;1.5;2;1
3;2020-05-31;1.5;2;1
4;2020-06-30;1.5;2;1
5;2020-07-31;1.5;2;1
6;2020-08-31;1.5;2;1
7;2020-09-30;1.5;2;1
8;2020-10-31;1.5;2;1
9;2020-11-30;1.5;2;1
10;2020-12-31;1.5;2;1
11;2021-01-31;1.5;2;1
12;2021-02-28;1.5;2;1
13;2021-03-31;1.5;2;1
14;2021-04-30;1.5;2;1
15;2021-05-31;1.5;2;1
16;2021-06-30;1.5;2;1
17;2021-07-31;1.5;2;1
18;2021-08-31;1.5;2;1
19;2021-09-30;1.5;2;1
20;2021-10-31;1.5;2;1
21;2021-11-30;1.5;2;1
22;2021-12-31;1.5;2;1
21;2022-01-31;1.5;2;1
22;2022-02-28;1.5;2;1
23;2022-03-31;1.5;2;1
24;2022-04-30;1.5;2;1
25;2022-05-31;1.5;2;1
26;2022-06-30;1.5;2;1
27;2022-07-31;1.5;2;1
28;2022-08-31;1.5;2;1
29;2022-09-30;1.5;2;1
20;2022-10-31;1.5;2;1
21;2022-11-30;1.5;2;1
22;2022-12-31;1.5;2;1
